類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,S
透天,AD00173,柳川里,臺中市中區柳川里興中街124號,"24.145591,120.681211",1,117,第一分局,
透天,AD00152,柳川里,臺中市中區柳川里興中街66號,"24.14366,120.679205",1,112,第一分局,
透天,AD00440,柳川里,臺中市中區柳川里興中街132號,"24.145569,120.681158",1,112,第一分局,
透天,AD00428,柳川里,臺中市中區柳川里公園路30-16號,"24.145448,120.681048",1,110,第一分局,
透天,AD00443,柳川里,臺中市中區柳川里興中街132-1號,"24.145591,120.681211",1,101,第一分局,
透天,AD00150,柳川里,臺中市中區柳川里興中街62號,"24.143604,120.679154",1,97,第一分局,
透天,AD00168,柳川里,臺中市中區柳川里興中街65號,"24.144314,120.679556",1,94,第一分局,
透天,AD00172,柳川里,臺中市中區柳川里興中街96號,"24.144669,120.680223",1,94,第一分局,
透天,AD00233,柳川里,臺中市中區柳川里民族路160號,"24.141587,120.677515",1,90,第一分局,
透天,AD00156,柳川里,臺中市中區柳川里興中街92號,"24.144417,120.680032",1,89,第一分局,
透天,AD00435,柳川里,臺中市中區柳川里公園路30-113號,"24.145448,120.681048",1,89,第一分局,
透天,AD00467,柳川里,臺中市中區柳川里吉祥街3號,"24.144359,120.679443",1,89,第一分局,
透天,AD00232,柳川里,臺中市中區柳川里民族路156號,"24.14147,120.677595",1,88,第一分局,
透天,AD00134,柳川里,臺中市中區柳川里興中街60-2號,"24.143446,120.679196",1,86,第一分局,
透天,AD00135,柳川里,臺中市中區柳川里興中街60-4號,"24.143398,120.679252",1,86,第一分局,
透天,AD00143,柳川里,臺中市中區柳川里興中街60-12號,"24.143419,120.67943",1,85,第一分局,
透天,AD00422,柳川里,臺中市中區柳川里公園路30-4號,"24.145392,120.681051",1,84,第一分局,
透天,AD00439,柳川里,臺中市中區柳川里興中街130號,"24.145519,120.681102",1,84,第一分局,
透天,AD00161,柳川里,臺中市中區柳川里光復路189號,"24.144373,120.680205",1,82,第一分局,
透天,AD00182,柳川里,臺中市中區柳川里光復路92號,"24.144373,120.680537",1,81,第一分局,
透天,AD00183,柳川里,臺中市中區柳川里光復路82巷49號,"24.144648,120.68046",1,81,第一分局,
透天,AD00146,柳川里,臺中市中區柳川里興中街60-15號,"24.143491,120.679346",1,80,第一分局,
透天,AD00228,柳川里,臺中市中區柳川里柳川東路三段35號,"24.143212,120.678051",1,80,第一分局,
透天,AD00436,柳川里,臺中市中區柳川里公園路30-114號,"24.145448,120.681048",1,76,第一分局,
透天,AD00140,柳川里,臺中市中區柳川里興中街60-9號,"24.143284,120.67941",1,74,第一分局,
透天,AD00136,柳川里,臺中市中區柳川里興中街60-5號,"24.143383,120.679287",1,73,第一分局,
透天,AD00141,柳川里,臺中市中區柳川里興中街60-10號,"24.143366,120.67948",1,73,第一分局,
透天,AD00159,柳川里,臺中市中區柳川里光復路181號,"24.144313,120.68028",1,73,第一分局,
透天,AD00224,柳川里,臺中市中區柳川里興中街3號,"24.142703,120.677875",1,70,第一分局,
透天,AD00153,柳川里,臺中市中區柳川里興中街67號,"24.144389,120.679607",1,68,第一分局,
透天,AD00429,柳川里,臺中市中區柳川里公園路30-17號,"24.145448,120.681048",1,68,第一分局,
透天,AD00128,柳川里,臺中市中區柳川里成功路270號,"24.143431,120.680043",1,66,第一分局,
透天,AD00434,柳川里,臺中市中區柳川里公園路30號之112,"24.145448,120.681048",1,66,第一分局,
透天,AD00229,柳川里,臺中市中區柳川里柳川東路三段33號,"24.143115,120.677815",1,62,第一分局,
透天,AD00231,柳川里,臺中市中區柳川里柳川東路三段5號,"24.141518,120.676714",1,62,第一分局,
透天,AD00157,柳川里,臺中市中區柳川里成功路272號,"24.143466,120.680027",1,61,第一分局,
透天,AD00133,柳川里,臺中市中區柳川里興中街60-1號,"24.143474,120.679165",1,60,第一分局,
透天,AD00420,柳川里,臺中市中區柳川里公園路30-2號,"24.145354,120.681133",1,60,第一分局,
透天,AD00427,柳川里,臺中市中區柳川里公園路30-15號,"24.145448,120.681048",1,60,第一分局,
公寓,AD00217,柳川里,臺中市中區柳川里民族路195號,"24.141694,120.67689",1,58,第一分局,
透天,AD00139,柳川里,臺中市中區柳川里興中街60-8號,"24.143312,120.679372",1,58,第一分局,
透天,AD00167,柳川里,臺中市中區柳川里光復路183號,"24.144313,120.68028",1,58,第一分局,
透天,AD00178,柳川里,臺中市中區柳川里光復路88巷5號,"24.144508,120.68067",1,58,第一分局,
公寓,AD00221,柳川里,臺中市中區柳川里中山路272號,"24.142724,120.677764",1,57,第一分局,
透天,AD00154,柳川里,臺中市中區柳川里興中街73號,"24.144532,120.67971",1,57,第一分局,
透天,AD00166,柳川里,臺中市中區柳川里成功路259號,"24.143547,120.67952",1,57,第一分局,
透天,AD00165,柳川里,臺中市中區柳川里成功路257號,"24.143522,120.679551",1,56,第一分局,
透天,AD00215,柳川里,臺中市中區柳川里民族路179號,"24.141428,120.677221",1,54,第一分局,
透天,AD00171,柳川里,臺中市中區柳川里光復路215號,"24.144919,120.679573",1,53,第一分局,
透天,AD00218,柳川里,臺中市中區柳川里中山路257巷3號,"24.142099,120.677841",1,51,第一分局,
透天,AD00442,柳川里,臺中市中區柳川里興中街119號,"24.146045,120.680797",1,48,第一分局,
透天,AD00444,柳川里,臺中市中區柳川里興中街132-3號,"24.145647,120.681269",1,46,第一分局,
透天,AD00421,柳川里,臺中市中區柳川里公園路30-3號,"24.145382,120.681102",1,45,第一分局,
透天,AD00445,柳川里,臺中市中區柳川里興中街138號,"24.145755,120.681374",1,45,第一分局,
透天,AD00147,柳川里,臺中市中區柳川里興中街60-16號,"24.143516,120.679319",1,42,第一分局,
透天,AD00138,柳川里,臺中市中區柳川里興中街60-7號,"24.143335,120.679344",1,41,第一分局,
